name,language,stars,forks,open_issues,size_kb,has_wiki,created_at,age_days
ai-hedge-fund,Python,60195,10651,142,3360,1,2024-11-29 16:30:01+00:00,565
hello-agents,Python,60031,7383,151,230463,1,2025-09-07 09:50:24+00:00,283
Real-Time-Voice-Cloning,Python,59921,9407,171,369730,1,2019-05-26 08:56:15+00:00,2579
nanoGPT,Python,59783,10315,349,981,1,2022-12-28 00:51:12+00:00,1267
TrendRadar,Python,59563,24683,45,32200,0,2025-04-28 11:42:16+00:00,415
llama,Python,59468,9790,520,1150,0,2023-02-14 09:29:12+00:00,1219
autogen,Python,59040,8906,891,148692,0,2023-08-18 11:43:45+00:00,1034
mem0,Python,58795,6763,332,57634,0,2023-06-20 08:58:36+00:00,1093
GPT-SoVITS,Python,58763,6429,874,15430,1,2024-01-14 18:05:21+00:00,885
ultralytics,Python,58512,11201,308,57908,1,2022-09-11 16:39:45+00:00,1375
yolov5,Python,57532,17464,42,17842,1,2020-05-18 03:45:11+00:00,2221
private-gpt,Python,57280,7611,5,196183,0,2023-05-02 09:15:31+00:00,1142
you-get,Python,56838,9730,384,3538,1,2012-08-20 15:53:36+00:00,5049
rich,Python,56644,2185,352,50570,1,2019-11-10 15:28:09+00:00,2411
OpenManus,Python,56585,9847,526,4472,1,2025-03-06 14:08:14+00:00,468
face_recognition,Python,56510,13700,837,103959,1,2017-03-03 21:52:39+00:00,3392
mempalace,Python,55820,7236,579,21249,0,2026-04-05 01:12:07+00:00,73
faceswap,Python,55289,13364,9,205403,0,2017-12-19 09:44:13+00:00,3102
gpt-engineer,Python,55205,7307,71,20474,0,2023-04-29 12:52:15+00:00,1145
n8n-workflows,Python,55183,7319,29,52538,1,2025-05-14 08:43:59+00:00,399
nanochat,Python,55155,7578,109,1965,0,2025-10-13 13:46:35+00:00,247
requests,Python,54045,9975,229,13552,1,2011-02-13 18:38:17+00:00,5602
crewAI,Python,53802,7527,472,254125,0,2023-10-27 03:26:59+00:00,964
odoo,Python,52472,32847,9778,16111237,1,2014-05-13 15:38:58+00:00,4418
minimind,Python,51901,6677,42,38342,1,2024-07-27 04:34:12+00:00,690
